ID DE CONTROL,NOMBRE,PRESENTACIÓN,PRODUCTOS_INCLUIDOS,UNIDADES_EN_PAQUETE,PUNTOS,VALOR_COMISIONABLE,PRECIO_SOCIO,PRECIO_PÚBLICO,CATEGORÍA,TIPO_DE_PRODUCTO,CORRELACIÓN DE PRESENTACIÓN OFICIAL
1,GANOCONGRUENCIA,30 Sobres,Producto único,1,878,$            878.00,"$         1,071.00","$         1,785.00",SUPLEMENTOS,INDIVIDUAL,30 sobres de 20 g de GANO CONGRUENCIA
2,GANOCONGRUENCIA,720 Gramos,Producto único,1,878,$            878.00,"$         1,071.00","$         1,785.00",SUPLEMENTOS,INDIVIDUAL,GANOCONGRUENCIA (presentación hogar de 720 g)
3,PAQUETE GANOCONGRUENCIA,720 gramos por unidad,3 GANOCONGRUENCIA (PRESENTACIÓN A ELEGIR)  Y 1 CREMA BIO.EN,4,2378,"$         2,378.00","$         3,073.00","$         5,710.00",SUPLEMENTOS,PAQUETE,3 GANOCONGRUENCIA (PRESENTACIÓN A ELEGIR)  Y 1 CREMA BIO.EN
4,BIO.CON TAMARINDO,600 gramos,Producto único,1,539,$            539.00,$            658.00,"$         1,096.00",SUPLEMENTOS,INDIVIDUAL,Bolsa de 600 g de BIO.CON sabor tamarindo
5,BIO.CON CIRUELA,600 gramos,Producto único,1,539,$            539.00,$            658.00,"$         1,096.00",SUPLEMENTOS,INDIVIDUAL,Bolsa de 600 g de BIO.CON sabor ciruela
6,PAQUETE BIO.CON,130 gramos por unidad,13 BIO.CON (Sabores a elegir),13,6422,"$         6,422.00","$         7,896.00","$       14,248.00",SUPLEMENTOS,PAQUETE,13 bolsas de 600 g de BIO.CON
7,BIO.GRU,60 cápsulas,Producto único,1,369,$            369.00,$            450.00,$            750.00,SUPLEMENTOS,INDIVIDUAL,BIO.GRU (60 cápsulas por unidad)
8,PAQUETE BIO.GRU,60 cápsulas por unidad,13 BIO.GRU,13,4379,"$         4,379.00","$         5,403.00","$         9,756.00",SUPLEMENTOS,PAQUETE,13 BIO.GRU (60 cápsulas por unidad)
9,BIO.EN,130 gramos,Producto único,1,362,$            362.00,$            442.00,$            657.00,SUPLEMENTOS,INDIVIDUAL,BIO.EN (crema de 130 g por unidad)
10,PAQUETE BIO.EN,130 gramos por unidad,13 BIO.EN,13,4295,"$         4,295.00","$         5,301.00","$         8,541.00",SUPLEMENTOS,PAQUETE,13 BIO.EN (crema de 130 g por unidad)
11,BIO.CIA,90 cápsulas,Producto único,1,338,$            338.00,$            412.00,$            687.00,SUPLEMENTOS,INDIVIDUAL,BIO.CIA (90 cápsulas por unidad)
12,PAQUETE BIO.CIA,90 cápsulas por unidad,13 BIO.CIA,13,4006,"$         4,006.00","$         4,948.00","$         8,931.00",SUPLEMENTOS,PAQUETE,13 BIO.CIA (90 cápsulas por unidad)
13,BIO.FLEX,60 cápsulas,Producto único,1,338,$            338.00,$            412.00,$            687.00,SUPLEMENTOS,INDIVIDUAL,BIO.FLEX (60 cápsulas por unidad)
14,PAQUETE BIO.FLEX,60 cápsulas por unidad,13 BIO.FLEX,13,4006,"$         4,006.00","$         4,948.00","$         8,931.00",SUPLEMENTOS,PAQUETE,13 BIO.FLEX (60 cápsulas por unidad)
15,BIO.PROTEC,90 cápsulas,Producto único,1,338,$            338.00,$            412.00,$            687.00,SUPLEMENTOS,INDIVIDUAL,BIO.PROTEC (90 cápsulas por unidad)
16,PAQUETE BIO.PROTEC,90 cápsulas por unidad,13 BIO.PROTEC,13,3878,"$         4,006.00","$         4,948.00","$         8,931.00",SUPLEMENTOS,PAQUETE,13 BIO.PROTEC (90 cápsulas por unidad)
17,BIO.FORCE,90 cápsulas,Producto único,1,338,$            338.00,$            412.00,$            687.00,SUPLEMENTOS,INDIVIDUAL,BIO.FORCE (90 cápsulas por unidad)
18,PAQUETE BIO.FORCE,90 cápsulas por unidad,13 BIO.FORCE,13,3871,"$         4,006.00","$         4,948.00","$         8,931.00",SUPLEMENTOS,PAQUETE,13 BIO.FORCE (90 cápsulas por unidad)
19,BIO.LYBER,60 cápsulas,Producto único,1,338,$            338.00,$            412.00,$            687.00,SUPLEMENTOS,INDIVIDUAL,BIO.LYBER (60 cápsulas por unidad)
20,PAQUETE BIO.LYBER,60 cápsulas por unidad,13 BIO.LYBER,13,3878,"$         4,006.00","$         4,948.00","$         8,931.00",SUPLEMENTOS,PAQUETE,13 BIO.LYBER (60 cápsulas por unidad)
21,TODAY,90 cápsulas,Producto único,1,387,$            387.00,$            472.00,$            787.00,SUPLEMENTOS,INDIVIDUAL,TODAY (90 cápsulas por unidad)
22,PAQUETE TODAY,90 cápsulas por unidad,13 TODAY,13,4593,"$         4,593.00","$         5,665.00","$       10,228.00",SUPLEMENTOS,PAQUETE,13 TODAY (90 cápsulas por unidad)
23,SUPER BIO,120 Tabletas,Producto único,1,268,$            268.00,$            327.00,$            546.00,SUPLEMENTOS,INDIVIDUAL,SUPER BIO (120 tabletas por unidad)
24,PAQUETE SUPER BIO,120 tabletas por unidad,13 SUPER.BIO,13,3170,"$         3,170.00","$         3,929.00","$         7,083.00",SUPLEMENTOS,PAQUETE,13 SUPER.BIO (120 cápsulas por unidad)
25,BIO.MIEL,546 gramos,Producto único,1,418,$            418.00,$            510.00,$            747.00,SUPLEMENTOS,INDIVIDUAL,BIO.MIEL (botella de 546 g con tapa dosificadora)
26,PAQUETE BIO.MIEL,546 gramos por unidad,13 BIO.MIEL,13,4966,"$         4,966.00","$         6,120.00","$         9,711.00",SUPLEMENTOS,PAQUETE,13 BIO.MIEL (botella de 546 g con tapa dosificadora)
27,BIO.FIT,600 mililitros,Producto único,1,402,$            402.00,$            490.00,$            738.00,SUPLEMENTOS,INDIVIDUAL,BIO.FIT (botella de 600 ml con tapa rosca)
28,PAQUETE BIO.FIT,600 mililitros por unidad,13 BIO.FIT,13,4770,"$         4,770.00","$         5,880.00","$         9,594.00",SUPLEMENTOS,PAQUETE,13 BIO.FIT (botella de 600 ml con tapa dosificadora)
